event_id_cnty,event_date,state_clean,location,event_type,notes_short,fatalities,kidnapped_count,fatalities_combatants,fatalities_security_forces,fatalities_civilians,civilian_targeting,is_duplicate,corrected_kidnapped_count,corrected_fatalities,corrected_combatants,corrected_security,corrected_civilians,corrected_duplicate,review_note
NIG12433,2018-05-22,Kaduna,Birnin Gwari,Violence against civilians,22 May. 47 travellers are kidnapped in the Birnin Gwari area in several incidents between the evening of 22 May and the ...,0,47.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12435,2018-05-22,Plateau,Barkin Ladi,Violence against civilians,22 May. Fulanis attack Rambuu village in Barkin-Ladi over two days. Four deaths reported.,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12434,2018-05-22,Lagos,Mile 12,Riots,22 May. A woman is nearly lynched in Mile 12 after she was accused of attempting to kidnap a child.,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12436,2018-05-23,Kaduna,Birnin Gwari,Violence against civilians,23 May. 47 travellers are kidnapped in the Birnin Gwari area in several incidents between the evening of 22 May and the ...,0,47.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12439,2018-05-23,Plateau,Barkin Ladi,Violence against civilians,23 May. Fulanis attack Rambuu village in Barkin-Ladi over two days. Four deaths reported.,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12561,2018-05-25,Ekiti,Ado-Ekiti,Violence against civilians,25 May. 3 travellers were killed by Fulani herders in Ado-Ekiti. 2 of the victims were travelling in a commercial bus wh...,3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG14043,2018-05-25,Zamfara,Gidan Goga,Violence against civilians,"25 May. Gunment attack farmers in Gidan Goga of Maradun LGA, killing 7 persons in the fields.",7,0.0,0.0,0.0,7.0,Yes,No,,,,,,,
NIG12452,2018-05-26,Benue,Anyiin,Violence against civilians,"26 May, on or about. Two civilians were killed by suspected Fulanis 'at the weekend' on Anyiin Road, at Tse Adendem vill...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12453,2018-05-26,Benue,Gbajimba,Violence against civilians,"26 May, on or about. Suspected Fulanis were reported to have attacked Tse Shitenger in Uvir council ward of Guma Local, ...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12451,2018-05-26,Ondo,Akure,Violence against civilians,26 May. 'Political thugs' (likely either PDP or a faction of the APC) stormed an APC venue in Akure. 'Many' injuries rep...,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG14044,2018-05-26,Zamfara,Gidan Goga,Violence against civilians,"26 May. Gunmen attack civilians in Malikawa village of Gidan Goga in Maradun LGA, with 30 deaths reported.",30,0.0,0.0,0.0,30.0,Yes,No,,,,,,,
NIG12450,2018-05-26,Benue,Katsina-Ala,Violence against civilians,26 May. Unidentified gunmen kill a community leader in Kastina Ala during the early morning hours.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12455,2018-05-27,Taraba,Jalingo,Violence against civilians,27 May. Fulanis attack a Catholic Church in Jalingo. A priest 'narrowly escaped death.',0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12454,2018-05-27,Borno,Konduga,Explosions/Remote violence,27 May. Two Boko Haram suicide bombers strike a Konduga mosque. At least three civilians dead in addition to the bombers...,5,0.0,2.0,0.0,3.0,Yes,No,,,,,,,
NIG12458,2018-05-28,Plateau,Gashit,Violence against civilians,28 May. Fulanis attack Gashish (Gashit) village. Two civilians dead.,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12457,2018-05-28,Borno,Uba,Violence against civilians,28 May. Boko Haram attacks and kills a Fulani civilian at Pumbum bush in Askira/Uba.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12461,2018-05-29,Taraba,Wukari,Violence against civilians,"29 May. Unidentified gunmen invade the home of a civilian killing two. The motive for the attack is not known, though it...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12462,2018-05-29,Plateau,Ropp,Violence against civilians,29 May. Fulanis attack Ropp village during the morning hours. One civilian dead.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG14045,2018-05-29,Rivers,Port Harcourt,Violence against civilians,"Week of 29 May. An unidentified armed group attempts to assassinate King Ateke Tom in Port Haricourt of Rivers State, bu...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12468,2018-05-30,Kaduna,Birnin Gwari,Violence against civilians,30 May. Unidentified assailants attacked an area between Kiryoyi and Maganda villages of Birnin Gwari local government a...,0,25.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12469,2018-05-30,Abia,Aba,Protests,"On 30 May 2018, a combined military/police force opened fire at a group of IPOB protesters conducting a 'sit at home exe...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12473,2018-05-31,Rivers,Okrika,Violence against civilians,"31 May. One person has been killed, following an attempt by unknown people to assassinate the Amanyanabo of Okochiri Kin...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12477,2018-05-31,Benue,Anyiin,Violence against civilians,31 May. Fulanis attacked and killed two travellers in Mbazar community between Anyiin and Akwana in Logo local governmen...,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12475,2018-05-31,Plateau,Barkin Ladi,Violence against civilians,"31 May, on or before. The Berom ethnic nationality in Plateau state has accused Fulani herdsmen of raping and killing wo...",3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12474,2018-05-31,Plateau,Riyom,Violence against civilians,"31 May, on or before. The Berom ethnic nationality in Plateau state has accused Fulani herdsmen of raping and killing wo...",3,0.0,0.0,0.0,3.0,Yes,Flagged by dedup,,,,,,,
NIG12476,2018-05-31,Plateau,Bukuru,Violence against civilians,"31 May, on or before. The Berom ethnic nationality in Plateau state has accused Fulani herdsmen of raping and killing wo...",4,0.0,0.0,0.0,4.0,Yes,Flagged by dedup,,,,,,,
NIG12485,2018-06-01,Plateau,Gashit,Violence against civilians,01 June. Fulani militia attacks Kura Falls community in Gashish District of Barkin-Ladi Local Government Area of Plateau...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12482,2018-06-01,Ekiti,Ado-Ekiti,Violence against civilians,"01 June. A former governorship aspirant in the All Progressive Congress in Ekiti State, Michael Opeyemi Bamidele was sho...",0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG14046,2018-06-01,Rivers,Port Harcourt,Violence against civilians,01 June. Police torture and kill a civilian in prison at Mile 1 area near Port Harcourt in Rivers State.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12489,2018-06-02,Plateau,Gashit,Violence against civilians,02 June. Fulani militia attacks Kura Falls community in Gashish District of Barkin-Ladi Local Government Area of Plateau...,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12710,2018-06-02,Benue,Tsedyugh,Violence against civilians,02 June. 19 farmers were killed when Fulani herdsmen attacked Tsedyugh. It was reported that the herders burnt many hous...,19,0.0,0.0,0.0,19.0,Yes,No,,,,,,,
NIG12496,2018-06-03,Delta,Issele-Uku,Violence against civilians,03 June. Fulanis attack a family of five at a farm near Issele-Uku. No casualties.,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12495,2018-06-03,Benue,Tseaondo,Violence against civilians,"03 June. Suspected herdsmen in the early hours invaded Tse-Adough settlement of Yaav ward, Turan District in Kwande coun...",10,0.0,0.0,0.0,10.0,Yes,No,,,,,,,
NIG12505,2018-06-04,Benue,Gbajimba,Violence against civilians,"04 June. Fulanis attack Yelwata, Guma LGA, killing two civilians.",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12711,2018-06-04,Taraba,Takum,Violence against civilians,"04 June. Gunmen, suspected to be Fulani herdsmen attacked Dinyina, in Takum LGA community, killing 5 people in the attac...",5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12509,2018-06-05,Taraba,Gassol,Violence against civilians,05 June. Five people were killed and scores injured following an attack by gunmen on Dan-Anacha and Dinya villages in Ga...,5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12522,2018-06-05,Delta,Warri,Violence against civilians,"05 June. Police beat an attorney in Warri for allegedly defending his client, leaving him injured.",0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12513,2018-06-06,Benue,Ugba,Violence against civilians,"06 June. Fulanis attack Tse Igbur in Logo LGA, killing one civilian and injuring many. The attack was coordinated with a...",5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12512,2018-06-06,Benue,Gbajimba,Violence against civilians,"06 June. Fulanis attack Tse Shan in Saghev, Guma LGA killing eight civilians. The attack was coordinated with a second a...",8,0.0,0.0,0.0,8.0,Yes,No,,,,,,,
NIG12712,2018-06-06,Nasarawa,Doma,Violence against civilians,"06 June, on or about. A 40-year-old man identified as Daniel Eka was murdered by a herdsman who was grazing on his farm ...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12713,2018-06-06,Plateau,Bassa,Violence against civilians,06 June. 'Some' Irigwe people were killed by Fulani herdsmen in Bassa. Exact fatality number not known.,3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12523,2018-06-06,Kwara,Illorin,Violence against civilians,06 June. Unidentified assailants assassinate the Director of Planning in the Ministry of Economic Planning and Developme...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG14047,2018-06-06,Ekiti,Efon-Alaiye,Violence against civilians,Week of June 6. An unidentified armed group kidnaps and kills three people in Efon-Alaiye of Efon LGA.,3,3.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12515,2018-06-07,Bayelsa,Nembe,Violence against civilians,07 June. Residents of Oluasiri community in Nembe local government area accuse JTF forces of attacking their community a...,5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG26845,2018-06-08,Kaduna,Birnin Gwari,Violence against civilians,"On 8 June 2018, gunmen, presumably belong to a Kaduna militia, killed two persons and abducted 32 others in two attacks ...",2,32.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12517,2018-06-08,Bayelsa,Nembe,Violence against civilians,08 June. Residents of Oluasiri community in Nembe local government area accuse JTF forces of attacking their community a...,5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12528,2018-06-10,Plateau,Kwal,Violence against civilians,"10 June. No fewer than two persons have been killed by suspected Fulani herdsmen during an attack on Irigwe chiefdom, ne...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12529,2018-06-10,Osun,Iwo,Violence against civilians,10 June. Fulanis kidnap a Methodist preacher and two others along the Iwo-Osogbo in Osun road.,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12587,2018-06-10,Plateau,Barkin Ladi,Violence against civilians,10 June. Four Fulanis travelling in a vehicle with cattle were ambushed around Fan. Perpetrators not known. Another grou...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12526,2018-06-10,Adamawa,Mubi,Explosions/Remote violence,10 June. An explosive device killed one person and injured two others at a metal scrap site in Mubi. The actors who plac...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12539,2018-06-11,Enugu,Agbani,Violence against civilians,"11 June. The traditional monarch of Ogbosinne Autonomous Community, in Nkanu West Local Government Area of Enugu State i...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12540,2018-06-12,Anambra,Orkija,Riots,12 June. A group of youths attempt a lynch a school principal they accused of having a sexual affair with a student in O...,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12543,2018-06-12,Benue,Tombo,Violence against civilians,"12 June. Fulanis attack Tombo ward of Logo LGA, killing two brothers. The attack was followed by a second attack nearby.",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12544,2018-06-12,Benue,Ugba,Violence against civilians,"12 June. Following an attack in Tombo ward, Fulanis attack Tse Audu Amo-Tombo ward and Iortumbur Atov at Tse Akombo, Log...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12715,2018-06-12,Nasarawa,Obi,Violence against civilians,12 June. A farmer was killed by Fulani herdsmen while another victim went missing following an attack on Gada-Biu villag...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12541,2018-06-12,Zamfara,Ohoh,Violence against civilians,"12 June. Unidentified Armed Group, a group of suspected 'bandits' or cattle raiders active in Zamfara and Katsina states...",7,0.0,0.0,0.0,7.0,Yes,No,,,,,,,
NIG12542,2018-06-12,Zamfara,Birnin Magaji,Violence against civilians,"12 June. Unidentified Armed Group, a group of suspected 'bandits' or cattle raiders active in Zamfara and Katsina states...",17,0.0,0.0,0.0,17.0,Yes,Flagged by dedup,,,,,,,
NIG12546,2018-06-13,Nasarawa,Keana,Violence against civilians,13 June. Fulani attackers kill four Tivs during an attack on Antsa village of Kwara district in Keana Local Government A...,4,0.0,0.0,0.0,4.0,Yes,No,,,,,,,
NIG12545,2018-06-13,Lagos,Lagos,Riots,13 June. A vigilante mob beats a suspected thief in Lagos.,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG14049,2018-06-13,Ondo,Isua,Violence against civilians,Week of 13 June. Police kill a commercial driver following a disagreement in Isua of Akoko South LGA.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12547,2018-06-13,Ekiti,Ado-Ekiti,Violence against civilians,13 June. Unidentified armed assailants attacked and killed an Ekiti State APC member in the Atikankan area of the capita...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12716,2018-06-13,Adamawa,Michika,Violence against civilians,13 June. A Boko Haram commander is killed by security forces after the group attacked 13 unnamed villages in Michika LGA...,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12549,2018-06-14,Benue,Tseaudu,Violence against civilians,"14 June. Fulanis attack Tse Audu Amo, kill one civilian.",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG13831,2018-06-14,Zamfara,Birnin Magaji,Violence against civilians,"Reported 14 June. Suspected 'bandits' or cattle raiders active in Zamfara and Katsina states, attacked Badambaji (Birnin...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG13830,2018-06-14,Zamfara,Kabin Giro,Violence against civilians,"Reported 14 June. Suspected 'bandits' or cattle raiders active in Zamfara and Katsina states, recently attacked Kabin Gi...",1,0.0,0.0,0.0,1.0,Yes,Flagged by dedup,,,,,,,
NIG14051,2018-06-14,Enugu,Eha Amufu,Violence against civilians,14 June. Unidentified armed group kills 3 farmers in Eha Emufu of Isi-Uzo LGA.,3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG14053,2018-06-15,Lagos,Ojo,Violence against civilians,15 June. Police torture and kill a civilian while in custody in Ojo prison in Lagos State.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG14052,2018-06-15,Enugu,Mgbidi,Violence against civilians,"Month of June. An unidentified armed group of 6 kidnap and kill Akano Amos, the APC Director General for Ugwumba Uche Nw...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12563,2018-06-16,Borno,Damboa,Explosions/Remote violence,16 June. At least six Boko Haram suicide bombers attack a Eid al-Fitr in Damboa during the night-time hours. At least 32...,38,0.0,6.0,0.0,32.0,Yes,No,,,,,,,
NIG12719,2018-06-17,Ebonyi,Uburu,Violence against civilians,"17 June. Chukwuemeka Nwani Ogori, a chieftain of Peoples Democratic Party (PDP), was murdered by some youths in Mgbom Ug...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12588,2018-06-18,Cross River,Otukpo,Violence against civilians,"18 June. One is dead on their farm after a land-based attack. The attack is belied to have taken place in Yala LGA, thou...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12569,2018-06-20,Plateau,Barkin Ladi,Violence against civilians,"20 June. Four people including a 10 years old boy were killed at Kai village, Barkin Ladi local government area of Plate...",4,0.0,0.0,0.0,4.0,Yes,No,,,,,,,
NIG12589,2018-06-20,Cross River,Otukpo,Violence against civilians,20 June. A travelling group of Ukele from Ipuolo village was attacked by Izzi militia in an ongoing dispute over area la...,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG14055,2018-06-20,Plateau,Jos,Violence against civilians,20 June. A civilian is killed by military forces while in a relaxation garden in Jos of Jos North LGA.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12591,2018-06-21,Plateau,Haifam,Violence against civilians,21 June. Five Fulani travellers are attacked and burnt to death in Heipang. Perpetrators not known; likely related to on...,5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12590,2018-06-21,Ondo,Oba-Ile,Violence against civilians,"On 21 June 2018, a local armed group attacked and kill two suspected members ('guards') of a street gang in Oba-Ile (Aku...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG14056,2018-06-21,Borno,Mafa,Violence against civilians,"21 June. Boko Haram attacks a group of local farmers in Mafa of Borno State, beheading 3 and leaving 13 others with guns...",3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12584,2018-06-22,Adamawa,Dowaya,Violence against civilians,"22 June. Fulanis attack Dowaya village in Demsa during the evening hours. 18 dead, plus injuries.",18,0.0,0.0,0.0,18.0,Yes,No,,,,,,,
NIG12594,2018-06-22,Ondo,Oba-Ile,Violence against civilians,"On 22 June 2018, a local armed group attacked and killed a suspected members ('guards') of a street gang in Oba-Ile (Aku...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12575,2018-06-22,Borno,Tungushe,Explosions/Remote violence,"22 June. A male suicide bomber attacks Tungushe village, 6km north of Maiduguri during the night-time hours. Following t...",6,0.0,0.0,0.0,6.0,Yes,No,,,,,,,
NIG12586,2018-06-23,Kaduna,Chikun,Violence against civilians,"23 June. Unidentified armed assailants attack Kuriga village, killing five and wounding 12.",5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12721,2018-06-23,Borno,Konduga,Violence against civilians,"23 June. Gunmen suspected to be Boko Haram attacked Tunkushe, Konduga and killed 4 people",4,0.0,0.0,0.0,4.0,Yes,No,,,,,,,
NIG12597,2018-06-23,Plateau,Gindiri,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,No,,,,,,,
NIG12598,2018-06-23,Plateau,Ruku,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12599,2018-06-23,Plateau,Kurra Falls,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12600,2018-06-23,Plateau,Kakuruk,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12601,2018-06-23,Plateau,Gnar,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12602,2018-06-23,Plateau,Gindi Akwati,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12603,2018-06-23,Plateau,Kafi Abu,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12604,2018-06-23,Plateau,Nekan,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG21710,2021-08-12,Borno,Ngala,Explosions/Remote violence,"On 12 August 2021, 5 children died from a grenade explosion while playing in a field 2km from Ngala town (Ngala LGA, Bor...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12605,2018-06-23,Plateau,Kufang,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12606,2018-06-23,Plateau,Razat,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",11,0.0,0.0,0.0,11.0,Yes,Flagged by dedup,,,,,,,
NIG12607,2018-06-23,Plateau,Rakok,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",10,0.0,0.0,0.0,10.0,Yes,Flagged by dedup,,,,,,,
NIG12608,2018-06-23,Plateau,Kok,Violence against civilians,"23 June, on or about. Fulanis carry out a large scale attack on various Plateau locations in Mangu, Barikin Ladi and Riy...",10,0.0,0.0,0.0,10.0,Yes,Flagged by dedup,,,,,,,
NIG12615,2018-06-24,Imo,Mgbe,Violence against civilians,24 June. Gunmen suspected to be hired assassins killed the traditional ruler of Mgbe (coordinates approx) community in O...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12610,2018-06-24,Plateau,Ruku,Violence against civilians,"24 June. Known multi-day attack by Fulanis in Ruku, Rakok, Kok and Razat villages. Total death toll in attacks around 23...",10,0.0,0.0,0.0,10.0,Yes,No,,,,,,,
NIG12611,2018-06-24,Plateau,Razat,Violence against civilians,"24 June. Known multi-day attack by Fulanis in Ruku, Rakok, Kok and Razat villages. Total death toll in attacks around 23...",10,0.0,0.0,0.0,10.0,Yes,Flagged by dedup,,,,,,,
NIG12612,2018-06-24,Plateau,Rakok,Violence against civilians,"24 June. Known multi-day attack by Fulanis in Ruku, Rakok, Kok and Razat villages. Total death toll in attacks around 23...",10,0.0,0.0,0.0,10.0,Yes,Flagged by dedup,,,,,,,
NIG12613,2018-06-24,Plateau,Kok,Violence against civilians,"24 June. Known multi-day attack by Fulanis in Ruku, Rakok, Kok and Razat villages. Total death toll in attacks around 23...",10,0.0,0.0,0.0,10.0,Yes,Flagged by dedup,,,,,,,
NIG12619,2018-06-25,Plateau,Jos,Violence against civilians,"25 June. Angered by recent Fulani violence, Berom youths attack motorists along the Jos-Abuja road.",0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12628,2018-06-26,Borno,Maiduguri,Explosions/Remote violence,26 June. Two Boko Haram suicide bombers attack Maiduguri killing 15 civilians.,17,0.0,2.0,0.0,15.0,Yes,No,,,,,,,
NIG12634,2018-06-27,Adamawa,Bare,Violence against civilians,"27 June. Suspected Fulanis attacked Bare village in the Numan Local Government of Adamawa State, killing two people and ...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12636,2018-06-27,Ogun,Mowe,Violence against civilians,"27 June. Okon Iyanam, a notable businessman and APC governorship candidate is assassinated in Mowe by unknown gunmen.",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12642,2018-06-29,Borno,Damboa,Violence against civilians,"29 June. Boko Haram members, disguised as farmers attacked a group of farmers along Damboa- Bitta- Gwoza road, killing f...",4,0.0,0.0,0.0,4.0,Yes,No,,,,,,,
NIG12669,2018-06-29,Borno,Banki,Violence against civilians,"29 June. Boko Haram attacks an IDP camp in Banki, killing four civilians.",4,0.0,0.0,0.0,4.0,Yes,No,,,,,,,
NIG12643,2018-06-30,Plateau,Bukuru,Violence against civilians,"30 June. Suspected Fulanis attack Kangan area of Jos South, killing one person and stealing cattle.",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12722,2018-06-30,Ebonyi,Ezamgbo,Violence against civilians,30 June. A man were shot dead in their farmland by attackers. It was reported that there has been an age-long land tussl...,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12673,2018-07-01,Plateau,Sabon Angwa,Violence against civilians,"01 July. Fulani militias attacked Sabon Angwa (coordinates approx) location in Barkin Ladi, killing six and destroying, ...",6,0.0,0.0,0.0,6.0,Yes,No,,,,,,,
NIG12723,2018-07-04,Zamfara,Boko,Violence against civilians,"04 July, week of. A suspected volunteer militia known as 'Yansakai' killed 41 civilians in Boko community of Zurmi LGA. ...",41,0.0,0.0,0.0,41.0,Yes,No,,,,,,,
NIG12683,2018-07-04,Benue,Tombo,Violence against civilians,"04 July. Suspected Fulani herdsmen killed three farmers in Tse-Tyodugh (other sources describe the town as Tombo), Logo ...",3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12684,2018-07-04,Adamawa,Guyuk,Violence against civilians,"04 July. Five people were killed in an attack by armed herdsmen in Kola community, Guyuk Local government Area of Adamaw...",5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG14058,2018-07-04,FCT,Abuja,Violence against civilians,04 July. A police officer shoots and kills a civilian part of the NYSC at a check point in Ceddi Plaza of Abuja.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG14059,2018-07-04,Kaduna,Goni Gora,Violence against civilians,Week of 04 July. A student at Kaduna State University was tortured to death by police of the Special Anti-Robbery Squad ...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG14060,2018-07-04,Taraba,Lau,Violence against civilians,04 July. Bachama and Nyandan ethnic militia groups kill 14 Hausa Fulani civilians in several villages of Lau LGA includi...,14,0.0,0.0,0.0,14.0,Yes,No,,,,,,,
NIG12724,2018-07-05,Akwa Ibom,Eket,Violence against civilians,05 July. Suspected militia from Atibe village abduct 19 Exxon Mobil workers while they were travelling in Eket LGA. Secu...,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12725,2018-07-06,Zamfara,Kutcheri,Violence against civilians,06 July. Gunmen shot and killed the district head of Kucheri in Tsafe LGA. Alhaji Ibrahim Madawaki was shot dead in fron...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12687,2018-07-06,Zamfara,Chafe,Violence against civilians,"06 July. Unidentified gunmen killed Alhaji Ibrahim Madawaki, the District Head of Kucheri in Tsafe Local Government Area...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12726,2018-07-07,Plateau,Bukuru,Violence against civilians,"07 July. Berom militia attacks 'some' Fulani communities around Police Staff College, Bukuru, Jos South. Two injured, ca...",0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12727,2018-07-07,Akwa Ibom,Inyang Etim Ekpo,Violence against civilians,"07 July, on or about. Suspected oil militants attacked the palace of the village head of Ikot Ese, Chief Ukanga Udo, kil...",4,0.0,0.0,0.0,4.0,Yes,No,,,,,,,
NIG12744,2018-07-09,Taraba,Anguwan Bishop Yotti,Violence against civilians,"09 July. Fulanis attack Gojefa, Bujum Yashi, Bujum Waya, Sabonlayi and Bujum Kasuwa villages in Numan Local Government a...",5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12741,2018-07-09,Adamawa,Sabonlayi,Violence against civilians,"09 July. Fulanis attack Gojefa, Bujum Yashi, Bujum Waya, Sabonlayi and Bujum Kasuwa villages in Numan Local Government a...",5,0.0,0.0,0.0,5.0,Yes,Flagged by dedup,,,,,,,
NIG12742,2018-07-09,Adamawa,Bujum Kasuwa,Violence against civilians,"09 July. Fulanis attack Gojefa, Bujum Yashi, Bujum Waya, Sabonlayi and Bujum Kasuwa villages in Numan Local Government a...",5,0.0,0.0,0.0,5.0,Yes,Flagged by dedup,,,,,,,
