event_id_cnty,event_date,state_clean,location,event_type,notes_short,fatalities,kidnapped_count,fatalities_combatants,fatalities_security_forces,fatalities_civilians,civilian_targeting,is_duplicate,corrected_kidnapped_count,corrected_fatalities,corrected_combatants,corrected_security,corrected_civilians,corrected_duplicate,review_note
NIG12627,2018-06-26,Delta,Otor Udu,Battles,26 June. Three dead and scores injured in a clash at in Udu LGA. The violence is believed motivated by the control of la...,1,0.0,0.0,0.0,1.0,No,No,,,,,,,
NIG12631,2018-06-26,Enugu,Enugu,Protests,"26 June. An Igbo group protests for the release of Senator Enyinnaya Abaribe, who was recently arrested for voicing supp...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12626,2018-06-26,Plateau,Jos,Protests,"On 26 June 2018, a women's group protests in Jos (Jos North, Plateau) over recent Fulani violence. Security operatives r...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12629,2018-06-26,Benue,Gbajimba,Battles,"26 June. Fulani herdsmen ambushed killed two soldiers and injured two others between Barkin Koota and Branch Umenger, Gu...",2,0.0,0.0,2.0,0.0,No,No,,,,,,,
NIG12662,2018-06-26,Nasarawa,Keana,Battles,26 June. Fulanis kill two soldiers and injure their commander while they were on patrol in Keana LGA. The military force...,2,0.0,0.0,2.0,0.0,No,No,,,,,,,
NIG12635,2018-06-27,Enugu,Enugu,Protests,"27 June. Members of the Biafra Zionists Federation, a pro-Biafran group, protested on the premises of an Enugu Magistrat...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12633,2018-06-27,Plateau,Jos,Riots,"27 June. Violent, rock-throwing protest at the government house against the recent Fulani violence in Plateau. The other...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12637,2018-06-27,Ondo,Akure,Protests,27 June. Protests in Akure over 'government insensitivity' after two youths died in a fire.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12638,2018-06-28,Nasarawa,Keana,Battles,"28 June, on or before. Soldiers deployed in the Benue and Nasarawa states border have allegedly killed about six Fulani ...",6,0.0,0.0,0.0,6.0,No,No,,,,,,,
NIG12639,2018-06-28,Oyo,Ibadan,Riots,28 June. Butchers continue their protest in Ibadan from 26/06 (no reported protest on 27/06 over the destruction and rel...,5,0.0,0.0,0.0,5.0,No,No,,,,,,,
NIG12640,2018-06-28,Borno,Damboa,Battles,"28 June. Military forces clear Boko Haram locations in Damboa and Bama LGAs (locations not provided by the source), kill...",3,0.0,0.0,0.0,3.0,No,No,,,,,,,
NIG12641,2018-06-28,Borno,Bama,Battles,"28 June. Military forces clear Boko Haram locations in Damboa and Bama LGAs (locations not provided by the source), kill...",3,0.0,0.0,0.0,3.0,No,Flagged by dedup,,,,,,,
NIG12663,2018-06-28,Borno,Mallam Kafari,Battles,"28 June. Military forces neutralize 8 Boko Haram members during an operation in Mallam Kafari, Goni, Alkari, Burburna an...",2,0.0,2.0,0.0,0.0,No,No,,,,,,,
NIG12664,2018-06-28,Borno,Goni,Battles,"28 June. Military forces neutralize 8 Boko Haram members during an operation in Mallam Kafari, Goni, Alkari, Burburna an...",2,0.0,2.0,0.0,0.0,No,Flagged by dedup,,,,,,,
NIG12665,2018-06-28,Borno,Alkari,Battles,"28 June. Military forces neutralize 8 Boko Haram members during an operation in Mallam Kafari, Goni, Alkari, Burburna an...",2,0.0,2.0,0.0,0.0,No,Flagged by dedup,,,,,,,
NIG12666,2018-06-28,Borno,Burburna,Battles,"28 June. Military forces neutralize 8 Boko Haram members during an operation in Mallam Kafari, Goni, Alkari, Burburna an...",1,0.0,1.0,0.0,0.0,No,Flagged by dedup,,,,,,,
NIG12667,2018-06-28,Borno,Kantanna,Battles,"28 June. Military forces neutralize 8 Boko Haram members during an operation in Mallam Kafari, Goni, Alkari, Burburna an...",1,0.0,1.0,0.0,0.0,No,Flagged by dedup,,,,,,,
NIG12668,2018-06-29,Borno,Gudumbali,Battles,"29 June, on or before. Military forces attack and overtake Gasawa Village in Guzamala LGA during a clearance operation. ...",4,0.0,4.0,0.0,0.0,No,No,,,,,,,
NIG12670,2018-06-30,Borno,Banki,Battles,30 June. Government troops repelled an attack by Boko Haram at Banki in Bama Local Government Area. Two civilians killed...,2,0.0,0.0,0.0,2.0,No,No,,,,,,,
NIG12671,2018-06-30,Borno,Anadawa,Battles,"On 30 June 2018, military forces attacked a Boko Haram/ ISWAP position in Anadawa (Mafa, Borno). Five militants were kil...",5,0.0,5.0,0.0,0.0,No,No,,,,,,,
NIG12672,2018-07-01,Borno,Maiduguri,Strategic developments,Arrests: 01 July. Military forces arrest 32 Boko Haram members in various unnamed locations in Borno State on or before ...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12676,2018-07-02,Cross River,Calabar,Protests,02 July. A group of lawyers protest in Calabar over pay.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12674,2018-07-02,Lagos,Atlas Cove,Battles,"02 July, on or about. 'Oil pipeline vandals' attack private security guards of Nigerian National Petroleum Corporation a...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12675,2018-07-02,Borno,Maiduguri,Riots,"02 July. 2,000 police officers stationed in Boko Haram-hit northeast Nigeria demanded months of back pay in a angry prot...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12677,2018-07-02,Ekiti,Ado-Ekiti,Strategic developments,"Movement of forces: 02 July. Police forces deploy 30,000 troops to Ekiti State to provide security ahead of an election ...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG14347,2018-07-02,Delta,Ughelli,Riots,02 July. Youths and residents of Ughelli in Delta State protest at the palace of the traditional leader against unfair t...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12681,2018-07-03,Enugu,Enugu,Protests,03 July. A coalition of women's groups organized as WSRSE protest at the Enugu House Assembly over the rampant violence ...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12678,2018-07-03,FCT,Abuja,Battles,"03 July. Unknown gunmen have shot dead between 7-9 policemen who were on patrol along the Nnamdi Azikiwe Road, Federal C...",7,0.0,0.0,7.0,0.0,No,No,,,,,,,
NIG12679,2018-07-03,FCT,Abuja,Protests,"03 July. 400 protesters under the auspices of CAT-BAN Citizens Action, protested at the National Assembly demanding grea...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12680,2018-07-03,Lagos,Lagos,Protests,"03 July. Residents of Ayetoro, Aguda, Surulere LGA protested at the headquarters of Eko Electricity Distribution Company...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12682,2018-07-04,FCT,Abuja,Protests,04 July. Members of Global Right and other Civil Society groups protested the massacres across Nigeria (assumedly Fulani...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG1548,2005-05-25,FCT,Abuja,Protests,Youths protest ban on politician El-Rufai,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12685,2018-07-05,Anambra,Onitsha,Protests,05 July. Lorry drivers block the Enugu -Onitsha highway outside of Onitsha by stopping their trucks in protest of the po...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12686,2018-07-06,Osun,Oshogbo,Protests,"06 July. Students, traders, and artisans demonstrated in Osogbo, the Osun State capital to protest the alleged marginali...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12729,2018-07-08,Bayelsa,Yenagoa,Protests,08 July. Members of the NLC protest at the office of telecommunication company MTN in Yenagoa over casualization of work...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
